posting_date,work_year,job_title,ai_role_category,experience_level,employment_type,salary_usd,salary_band,company_location,region,employee_residence,remote_type,company_size,industry,ai_tools_required,yoy_demand_change,high_demand,ai_disruption_risk,data_note
2023-01-06,2023,Senior Data Scientist,Data Science,Senior,Full-Time,85847.0,$80K-$120K,Spain,Europe,Spain,Remote,Large (250+),Technology,"R, Python, SAS, Tableau",0.07,False,Medium,real
2023-07-13,2023,Machine Learning Engineer,Machine Learning,Mid Level,Contract,30000.0,<$50K,United States,North America,United States,Remote,Small (<50),Technology,"Python, LightGBM, CatBoost, Optuna",0.25,True,Low,real
2023-05-10,2023,Machine Learning Engineer,Machine Learning,Mid Level,Contract,25500.0,<$50K,United States,North America,United States,Remote,Small (<50),Technology,"Python, Spark MLlib, Databricks, MLflow",0.25,True,Low,real
2023-10-18,2023,Data Scientist,Data Science,Senior,Full-Time,175000.0,$120K-$180K,Canada,North America,Canada,Remote,Medium (50-250),Technology,"Python, Polars, DuckDB, Plotly",0.07,False,Medium,real
2023-01-26,2023,Data Scientist,Data Science,Senior,Full-Time,120000.0,$120K-$180K,Canada,North America,Canada,Remote,Medium (50-250),Technology,"Python, Scikit-learn, SQL, Power BI",0.07,False,Medium,real
2023-03-20,2023,Applied Scientist,Data Science,Senior,Full-Time,222200.0,$180K-$250K,United States,North America,United States,On-site,Large (250+),Technology,"Python, XGBoost, SHAP, SQL",0.12,True,Medium,real
2023-07-26,2023,Applied Scientist,Data Science,Senior,Full-Time,136000.0,$120K-$180K,United States,North America,United States,On-site,Large (250+),Technology,"Python, SciPy, NumPy, Jupyter",0.1,True,Medium,real
2023-10-16,2023,Data Scientist,Data Science,Senior,Full-Time,219000.0,$180K-$250K,Canada,North America,Canada,On-site,Medium (50-250),Technology,"Python, SQL, Pandas, Plotly",0.07,False,Medium,real
2023-01-25,2023,Data Scientist,Data Science,Senior,Full-Time,141000.0,$120K-$180K,Canada,North America,Canada,On-site,Medium (50-250),Technology,"R, Python, SAS, Tableau",0.1,True,Medium,real
2023-07-25,2023,Data Scientist,Data Science,Senior,Full-Time,147100.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, SQL, dbt, Looker",0.12,True,Medium,real
